saison,team_id,CC1_npxg,CC1d_npxg_gegen,npxg_diff,CC2_box_zugriffsrate,CC2d_box_zugriffsrate_gegen,CC3_abschlussqualitaet,CC3d_abschlussqualitaet_gegen,wy_totals_general_shots,schuesse_gegen,xpoints,spiele,punkte,tore,gegentore,tordifferenz,ppg,platz,aufsteiger,relegation,top3,top6,team
2018/19,2478,1.1884294117647058,1.4298264705882353,-0.2413970588235294,0.09705438285360969,0.1182948330565526,0.11449999999999999,0.12247058823529411,11.823529411764707,13.147058823529411,1.2519264705882354,34,42,41,48,-7,1.2352941176470589,12,0,0,0,0,Dynamo Dresden
2018/19,2480,1.7583000000000002,1.5786941176470588,0.1796058823529412,0.1325134052413648,0.11072598087123374,0.13226470588235295,0.12997058823529412,14.411764705882353,13.470588235294118,1.5007176470588235,34,49,55,54,1,1.4411764705882353,8,0,0,0,0,Jahn Regensburg
2018/19,2491,1.7497147058823528,1.5183882352941176,0.2313264705882353,0.11785924209289585,0.1149317731688374,0.11661764705882352,0.13094117647058823,16.235294117647058,12.029411764705882,1.5876029411764705,34,57,76,50,26,1.6764705882352942,2,1,0,1,1,Paderborn
2018/19,2495,1.1792794117647059,1.4750999999999999,-0.2958205882352941,0.1043961857642721,0.11831685734102668,0.11823529411764708,0.12279411764705882,11.294117647058824,12.558823529411764,1.1981823529411764,34,49,46,53,-7,1.4411764705882353,9,0,0,0,0,St. Pauli
2018/19,2496,1.645214705882353,1.5671588235294118,0.07805588235294116,0.1371558267079421,0.12787403488501406,0.14191176470588235,0.128,11.852941176470589,13.294117647058824,1.3918911764705884,34,49,60,51,9,1.4411764705882353,6,0,0,0,1,Holstein Kiel
2018/19,2500,1.5631264705882353,0.9674470588235294,0.5956794117647058,0.12261866828874535,0.0893211475230015,0.12567647058823528,0.1034705882352941,13.705882352941176,10.647058823529411,1.7726558823529412,34,57,54,33,21,1.6764705882352942,3,0,1,1,1,Union Berlin
2018/19,2520,1.2018735294117648,1.1954058823529412,0.006467647058823519,0.09478279118476204,0.10273939861109758,0.1248529411764706,0.11258823529411764,10.617647058823529,12.147058823529411,1.3217382352941178,34,46,45,53,-8,1.3529411764705883,10,0,0,0,0,Darmstadt 98
2018/19,2526,1.1249617647058823,1.2150647058823532,-0.0901029411764706,0.10203692259992443,0.09274369567102908,0.099,0.12076470588235294,11.705882352941176,10.617647058823529,1.3231676470588234,34,31,35,53,-18,0.9117647058823529,17,0,0,0,0,Magdeburg
2018/19,2579,1.449529411764706,1.238735294117647,0.21079411764705883,0.11772137732219659,0.09525626507538897,0.12976470588235295,0.11994117647058825,12.058823529411764,12.323529411764707,1.4264999999999999,34,35,43,55,-12,1.0294117647058822,16,0,0,0,0,Ingolstadt
2018/19,2658,1.3114029411764705,1.56995,-0.2585470588235294,0.10404686082978067,0.11663820357586953,0.11170588235294118,0.10829411764705882,13.294117647058824,14.5,1.264014705882353,34,55,55,45,10,1.6176470588235294,5,0,0,0,1,Heidenheim
2018/19,2694,1.1068764705882352,1.3920558823529412,-0.2851794117647059,0.10348434439242857,0.10585796217432242,0.11038235294117647,0.12558823529411767,10.647058823529411,12.088235294117647,1.1843,34,38,45,52,-7,1.1176470588235294,15,0,0,0,0,Sandhausen
2019/20,2445,1.9777088235294116,1.1534882352941178,0.8242205882352941,0.16604335637728315,0.10290876121447694,0.13570588235294118,0.11388235294117646,15.941176470588236,10.647058823529411,1.9379617647058822,34,58,62,41,21,1.7058823529411764,2,1,0,1,1,Stuttgart
2019/20,2448,1.3394823529411766,1.4884029411764705,-0.1489205882352941,0.10826286440276098,0.11772784235023011,0.12055882352941177,0.12426470588235293,12.470588235294118,13.235294117647058,1.3072617647058824,34,46,53,51,2,1.3529411764705883,8,0,0,0,0,Bochum
2019/20,2450,1.6929441176470588,1.2451029411764707,0.44784117647058824,0.15451318850295068,0.10188810176898379,0.13970588235294118,0.11699999999999999,13.823529411764707,10.911764705882353,1.7502882352941176,34,54,62,46,16,1.588235294117647,4,0,0,0,1,Hamburger SV
2019/20,2455,1.3933764705882352,1.2893117647058823,0.10406470588235295,0.12621895501118907,0.0988984743931585,0.11497058823529412,0.126,13.088235294117647,11.5,1.3758205882352943,34,48,54,49,5,1.411764705882353,6,0,0,0,1,Hannover 96
2019/20,2458,1.2659676470588237,1.2298970588235294,0.03607058823529414,0.11561678582269236,0.10536526645285026,0.10373529411764706,0.12817647058823528,12.852941176470589,10.764705882352942,1.3393264705882353,34,37,45,58,-13,1.088235294117647,16,0,0,0,0,Nürnberg
2019/20,2459,1.4141941176470587,1.101905882352941,0.31228823529411764,0.12407178165074625,0.10931110556513586,0.12791176470588236,0.11423529411764706,12.705882352941176,10.352941176470589,1.653329411764706,34,68,65,30,35,2.0,1,1,0,1,1,Arminia Bielefeld
2019/20,2468,1.245235294117647,1.5213588235294118,-0.27612352941176477,0.09536567353860331,0.1344492885733446,0.12070588235294118,0.1291764705882353,11.588235294117647,12.911764705882353,1.201555882352941,34,47,46,48,-2,1.3823529411764706,7,0,0,0,0,Erzgebirge Aue
2019/20,2469,1.3429411764705883,1.3783735294117647,-0.03543235294117647,0.11323753997666576,0.11909649537955978,0.10911764705882353,0.1255,13.088235294117647,12.205882352941176,1.283835294117647,34,44,46,45,1,1.2941176470588236,9,0,0,0,0,Greuther Fürth
2019/20,2472,1.3040176470588234,1.3496117647058823,-0.045594117647058854,0.11731999520386933,0.12135241671883273,0.11641176470588235,0.11488235294117648,12.529411764705882,13.588235294117647,1.3113000000000001,34,37,45,56,-11,1.088235294117647,15,0,0,0,0,Karlsruher SC
2019/20,2478,0.9797617647058824,1.4587088235294117,-0.47894705882352945,0.10207405802426231,0.13844003331290572,0.10088235294117648,0.11508823529411764,9.852941176470589,13.058823529411764,1.028170588235294,34,32,32,58,-26,0.9411764705882353,18,0,0,0,0,Dynamo Dresden
2019/20,2479,1.427835294117647,1.8244676470588235,-0.3966323529411765,0.1106905618366535,0.13042996794229048,0.12744117647058825,0.1376470588235294,10.970588235294118,14.205882352941176,1.1575264705882353,34,34,45,65,-20,1.0,17,0,0,0,0,Wehen Wiesbaden
2019/20,2480,1.2512676470588235,1.5348264705882353,-0.2835588235294118,0.10705526458201112,0.11984838546548755,0.1277941176470588,0.11626470588235294,10.735294117647058,14.176470588235293,1.2171705882352941,34,43,50,56,-6,1.2647058823529411,12,0,0,0,0,Jahn Regensburg
2019/20,2495,1.2972323529411764,1.4658617647058825,-0.16862941176470586,0.11296667649924298,0.12465389080977077,0.1316764705882353,0.12008823529411765,10.705882352941176,13.411764705882353,1.2604,34,39,41,50,-9,1.1470588235294117,14,0,0,0,0,St. Pauli
2019/20,2496,1.664635294117647,1.384155882352941,0.2804794117647059,0.124786049775459,0.11778737503961863,0.13241176470588234,0.13199999999999998,13.529411764705882,12.382352941176471,1.5165823529411764,34,43,53,56,-3,1.2647058823529411,11,0,0,0,0,Holstein Kiel
2019/20,2501,1.3511029411764706,1.56445,-0.21334705882352942,0.1099852205145161,0.1353563995165169,0.12479411764705883,0.12994117647058823,12.294117647058824,13.470588235294118,1.2600794117647058,34,40,46,48,-2,1.1764705882352942,13,0,0,0,0,Osnabrück
2019/20,2520,1.2885647058823528,1.4060000000000001,-0.11743529411764705,0.11415994444850901,0.12895417747211954,0.11097058823529413,0.11555882352941176,12.941176470588236,13.411764705882353,1.3397588235294118,34,52,48,43,5,1.5294117647058822,5,0,0,0,1,Darmstadt 98
2019/20,2658,1.4120676470588236,1.3445,0.06756764705882352,0.10831464730495041,0.11953502094879512,0.12455882352941178,0.11023529411764707,11.970588235294118,12.676470588235293,1.4560617647058822,34,55,45,36,9,1.6176470588235294,3,0,1,1,1,Heidenheim
2019/20,2694,1.4210764705882353,1.3289882352941176,0.09208823529411765,0.13202470828900034,0.11670426883728845,0.11994117647058825,0.11935294117647058,14.029411764705882,12.205882352941176,1.542341176470588,34,43,43,45,-2,1.2647058823529411,10,0,0,0,0,Sandhausen
2020/21,2448,1.5506735294117648,1.3226382352941177,0.22803529411764703,0.12363979962386808,0.09758623125013419,0.1303529411764706,0.13602941176470587,12.382352941176471,10.970588235294118,1.515120588235294,34,67,66,39,27,1.9705882352941178,1,1,0,1,1,Bochum
2020/21,2450,1.6746617647058823,1.1535970588235294,0.521064705882353,0.13188606458788024,0.10527265568596848,0.15788235294117647,0.10932352941176471,12.235294117647058,10.764705882352942,1.7848382352941177,34,58,71,44,27,1.7058823529411764,4,0,0,0,1,Hamburger SV
